unrwly - Project Changes

GitHub:,https://github.com/lightningleap/omni
Last Updated:,2026-07-17
Tech Stack:,"Next.js 16, React 19, Prisma + Supabase, Stripe, Printify API, Konva, Tailwind"

Recent Activity (Oldest → Newest)
Sr.No,Date,Activity,Author
1,2026-05-03,"Remove email verification, auto-login on sign-up",sukumarlightningleap
2,2026-05-03,Auto-create Prisma user on first account visit after Supabase sign-up,sukumarlightningleap
3,2026-05-03,"Admin dashboard visual overhaul (background, overlap, and alignment)",sukumarlightningleap
4,2026-05-04,"Integrate GA4 ecommerce tracking funnel (view_item, add_to_cart, view_cart, begin_checkout)",sukumarlightningleap
5,2026-05-04,Complete GA4 360 tracking (Browser + Server-Side Measurement Protocol),sukumarlightningleap
6,2026-05-04,Implement server-side measurement protocol with session stitching and LTV properties (analytics),sukumarlightningleap
7,2026-07-17,Design Studio: in-app product designer (659 Printify product types),taniya
8,2026-07-17,"Design Studio: canvas editor - upload, text, shapes, layers, drag/resize/rotate",taniya
9,2026-07-17,Design Studio: multi-side design (Front/Back/Sleeve/Neck),taniya
10,2026-07-17,Design Studio: free AI image generation (text prompt to artwork),taniya
11,2026-07-17,Design Studio: colour & size (variant) selection,taniya
12,2026-07-17,Design Studio: garment templates on canvas (t-shirt/tank/hoodie),taniya
13,2026-07-17,Design Studio: create product on Printify + show real per-colour mockups,taniya
14,2026-07-17,"Product page: colour mockup gallery, pick main storefront image",taniya
15,2026-07-17,Connected live Printify account (UNRWLY Adult + Kids stores),taniya
16,2026-07-17,"Multi-store product sync (~239 products, all pages)",taniya
17,2026-07-17,Separate Studio-designed vs Synced products (filter tabs + badges),taniya
18,2026-07-17,Fix: database connection pooling (timeouts),taniya
19,2026-07-17,Fix: Printify image hosts whitelisted,taniya
20,2026-07-17,Fix: Safari image upload (load-order bug),taniya
21,2026-07-17,Fix: send designs to Printify as base64 (removed Vercel Blob dependency),taniya
22,2026-07-17,"Docs: project scope, launch plan and checklist",taniya


All Changes (Oldest → Newest)
Sr.No,Version,Change Description,Date
1,v0.1.0,Initial lightweight production engine,2026-03-31
2,v0.1.0,Prisma 7 datasource compatibility,2026-03-31
3,v0.1.0,Prisma deployment shield v6.0,2026-03-31
4,v0.1.0,Add missing pg dependencies and types for deployment,2026-03-31
5,v0.1.0,Add explicit pg module declaration for production build,2026-03-31
6,v0.1.0,Final @ts-ignore bypass for pg module build blocker,2026-03-31
7,v0.2.0,Align Printify env vars and add sync UI feedback,2026-04-01
8,v0.2.0,Add db:admin script for easy account promotion,2026-04-01
9,v0.3.0,"Resolve Printify sync issues, order submission bugs, and webhook validation",2026-04-04
10,v0.3.0,Restore prisma database urls for Vercel Prisma 6 compatibility,2026-04-04
11,v0.3.0,Resolve typescript type error in prisma.config.ts,2026-04-04
