Area,Feature,Status,Effort,Priority,Notes
Design Studio,Product picker (659 types),Built,,,Live from Printify catalog
Design Studio,"Canvas editor (layers, drag/resize/rotate)",Built,,,
Design Studio,Image upload (PNG/JPG/WEBP),Built,,,
Design Studio,"Text (font, size, bold, colour)",Built,,,
Design Studio,"Shapes (rectangle, circle)",Built,,,
Design Studio,Multi-side design (Front/Back/Sleeve/Neck),Built,,,Each side separate
Design Studio,AI image generation,Built,,,"Free, no API key"
Design Studio,Colour & size selection,Built,,,
Design Studio,Garment templates on canvas,Built,,,T-shirt / tank / hoodie
Design Studio,Live preview on product,Built,,,Approximate
Design Studio,Real mockups on create,Built,,,Printify generates per colour
Design Studio,Graphics / clipart library,Buildable,M,Low,Our own hosted assets
Design Studio,Stock photos (Unsplash/Pexels),Buildable,S,Low,Free API
Design Studio,More fonts (Google Fonts),Buildable,S,Low,
Design Studio,Undo / redo,Buildable,M,Medium,
Design Studio,Duplicate layer,Buildable,S,Low,
Design Studio,Alignment guides / snapping,Buildable,M,Low,
Design Studio,Layer opacity / lock,Buildable,S,Low,
Design Studio,Curved / arced text,Buildable,M,Low,
Design Studio,Image filters,Buildable,M,Low,"B&W, contrast, saturation"
Design Studio,Background removal,Buildable,M,Medium,Big value for POD
Design Studio,Save design as template,Buildable,M,Low,
Design Studio,Design library (reusable artwork),Buildable,M,Low,
Design Studio,One design -> many products,Buildable,L,Medium,Tee + hoodie + mug at once
Design Studio,Bulk product creation,Buildable,L,Low,
Design Studio,Better AI (paid model),Buildable,S,Low,"OpenAI/Gemini, cents per image"
Design Studio,AI prompt presets,Buildable,S,Low,Vintage / Y2K / Minimal
Design Studio,Printify's graphics library,Not possible,,,"Their private assets, not in API"
Design Studio,Printify's AI,Not possible,,,Not exposed; we built our own
Design Studio,Shutterstock / Fiverr,Not possible,,,Printify-internal
Design Studio,Printify garment line-art templates,Not possible,,,Private assets; we drew our own
Design Studio,Editor preview in real garment colours,Not possible,,,Catalog gives 1 photo; colours appear in mockup on create
